word,count,sqrt_count,tf_score,char_freq_score
plans,1014,31.843366656181317,3.6237787300261863,61.44139771900022
pious,13,3.605551275463989,0.410312143283032,69.64329046347974
wiser,25,5.0,0.5690005659817304,77.06058400064708
liars,27,5.196152422706632,0.5913227338894826,78.67022567338024
inter,667,25.826343140289914,2.9390407728126684,75.79066569602847
noble,337,18.35755975068582,2.089092377636733,67.82334384858044
lofty,19,4.358898943540674,0.4960431931863621,43.177222357033074
shalt,6,2.449489742783178,0.27875221000201433,62.104667151985765
fiery,45,6.708203932499369,0.7633943668626022,67.58877295154898
ideal,273,16.522711641858304,1.8802864551540603,89.23400469141792
lurid,10,3.1622776601683795,0.35986755568543805,57.28383078540806
pitch,936,30.59411708155671,3.481613987023419,43.52503437676939
tango,243,15.588457268119896,1.7739682016684482,64.32904634797379
towns,610,24.698178070456937,2.810655460161512,51.90487745692792
aleph,280,16.73320053068151,1.9042401145287144,74.06778290059047
wadis,2,1.4142135623730951,0.16093766348186608,68.70500687535387
crops,172,13.114877048604,1.4924744926872966,54.85723529887567
clans,103,10.14889156509222,1.1549450089249367,61.90245086144138
blunt,218,14.7648230602334,1.680238535578582,40.928577206179725
posit,6,2.449489742783178,0.27875221000201433,65.63940791070128
lands,247,15.716233645501712,1.7885091678783176,62.52527703631804
swiss,488,22.090722034374522,2.5139266681008374,22.05775297257947
rabbi,145,12.041594578792296,1.3703348261310708,56.27274933268624
ruled,654,25.573423705088842,2.9102585124572307,67.8961417131764
cares,230,15.165750888103101,1.725864167773719,86.73461134028955
dodge,492,22.181073012818835,2.5242086196752007,52.333575992881975
anode,17,4.123105625617661,0.46920988691578114,87.89128852220334
signs,594,24.372115213907882,2.7735494701771057,32.59726603575184
anima,75,8.660254037844387,0.9855378898158045,32.34651783547682
seats,710,26.645825188948457,3.032297922712384,66.31885464693035
gnome,244,15.620499351813308,1.7776145944198052,64.1672733155383
nurse,163,12.767145334803704,1.4529025842948633,75.15975086953004
hutch,15,3.872983346207417,0.44074594320596727,26.999919113483784
pimps,9,3.0,0.34140033958903826,38.42109520342959
campy,1,1.0,0.11380011319634609,46.72814041899215
lingo,20,4.47213595499958,0.5089295779084014,57.1139691013508
rooms,183,13.527749258468683,1.5394593969055228,31.610450537895325
chats,18,4.242640687119285,0.48281299044559817,59.556741891126734
upped,28,5.291502622129181,0.602173597377063,48.863544447140654
molly,178,13.341664064126334,1.5182828807251998,29.17576639974116
digit,407,20.174241001832016,2.29583090965885,19.089217827388172
yacht,126,11.224972160321824,1.277403102470457,50.206260616355245
carol,260,16.1245154965971,1.8349716887489864,69.44107417293536
stops,494,22.22611077089287,2.5293339216421358,34.44147860551645
tours,520,22.80350850198276,2.5950418487994784,64.96804982609399
civic,327,18.083141320025124,2.0578635291643823,2.628811777076761
cobra,643,25.357444666211933,2.885680073385,65.10555690366415
sixty,245,15.652475842498529,1.7812535226794053,47.69068996198334
spelt,61,7.810249675906654,0.8888072972099026,66.13281565962954
joins,81,9.0,1.024201018767115,59.84793334951063
husky,194,13.92838827718412,1.5850521625862126,40.38663754752082
